season,episode,dialouge
1,1,"are cranking adding machines in my head.
"
,,
1,1,"Dick, you ever wonder
"
,,
1,1,"what's outside those walls?
"
,,
1,1,"That's dangerous thinking, Paul.
"
,,
1,1,"You best stick to your work.
"
,,
1,1,"Okay.
"
,,
1,1,"You see? A hangover is nature's way
"
,,
1,1,"of telling you I was right. I mean...
"
,,
1,1,"Mom, are you all right?
"
,,
1,1,"My goodness.
"
,,
1,1,"This chair leg was loose. Isn't that silly?
"
,,
1,1,"I could've broken my neck.
"
,,
1,1,"Damn!
"
,,
1,1,"Honey. I took a cab home,
"
,,
1,1,"I slept on the table...
"
,,
1,1,"...so I wouldn't wake you up.
"
,,
1,1,"Nothing bad happened.
"
,,
1,1,"I guess you're right.
"
,,
1,1,"Apology accepted.
"
,,
1,1,"All right, I'm going to work.
"
,,
1,1,"Somebody's gotta put food on this table.
"
,,
1,1,"How are you coming, Johnson?
"
,,
1,1,"Mr. Weed, I've been working
"
,,
1,1,"on the new G.I. Jew line.
"
,,
1,1,"And as you can see, they look great.
"
,,
1,1,"You call these bagels?
"
,,
1,1,"I'm glad he's on our side!
"
,,
1,1,"Peter!
"
,,
1,1,"What?
"
,,
1,1,"Are you sleeping on the job?
"
,,
1,1,"No. There's a bug in my eye
"
,,
1,1,"and I'm trying to suffocate him.
"
,,
1,1,"Peter, I like you. But I need you to be
"
,,
1,1,"more than just eye candy around here.
"
,,
1,1,"It's your job to watch for toys
"
,,
1,1,"that could be hazardous to kids.
"
,,
1,1," Now, look sharp!
"
,,
1,1," Yes, sir!
"
,,
1,1,"And now back to Action News 5.
"
,,
1,1,"Our top story tonight, ""When Toys Attack.""
"
,,
1,1,"Quite a situation we've got here, Tom.
"
,,
1,1,"Quite a situation we've got here, Tom,
"
,,
1,1,"indeed, Diane.
"
,,
1,1,"The Happy-Go-Lucky Toy Company
"
,,
1,1,"of Quahog, Rhode Island...
"
,,
1,1,"...has released highly unsafe
"
,,
1,1,"products into the retail market.
"
,,
1,1,"Come on, Timmy! Throw the Silly Ball!
"
,,
1,1,"Boy! A Pound Poochie!
"
,,
1,1,"Come on, Baby Heimlich, spit it out.
"
,,
1,1,"Peter, I'm appalled.
"
,,
1,1,"Your negligence has damaged
"
,,
1,1,"this company's reputation.
"
,,
1,1,"You're fired!
"
,,
1,1,"Jeez. For how long?
"
,,
1,1,"My God! You got fired?
"
,,
1,1," Way to go, Dad! Fight the machine!
"
,,
1,1," How do you know about the machine?
"
,,
1,1,"Don't worry.
"
,,
1,1,"I'll still put food on this table.
"
,,
1,1,"Just not as much.
"
,,
1,1,"So it might get a little competitive.
"
,,
1,1,"Who cares about food? Now we'll never
"
,,
1,1,"be able to afford my lip injections!
"
,,
1,1,"Can we put her
"
,,
1,1,"out in the yard for a while?
"
,,
1,1,"Okay, who's hungry?
"
,,
1,1,"Jeez. How the hell
"
,,
1,1,"am I gonna break this to Lois?
"
,,
1,1,"If she finds out I got fired for drinking,
"
,,
1,1,"she's gonna blame me!
"
,,
1,1,"Lie to her. It's okay to lie
"
,,
1,1,"to women. They're not people like us.
"
,,
1,1,"I don't know. Hey, where's the other guy?
"
,,
1,1,"Come on, you bastard! I'm late for work.
"
,,
1,1,"This is perfect!
"
,,
1,1,"Look, I don't want your mom to worry,
"
,,
1,1,"all right?
"
,,
1,1,"When she worries, she says,
"
,,
1,1,"""I told you so"" and:
"
,,
1,1,"""Stop doing that. I'm asleep.""
"
,,
1,1,"So I'm just gonna tell a little lie, okay?
"
,,
1,1,"Not a word to your mom
"
,,
1,1,"about me getting canned.
"
,,
1,1,"What's that, Peter?
"
,,
1,1," Nothing. The lost-my-job smells great.
"
,,
1,1," What?
"
,,
1,1,"Meg, honey, can you pass
"
,,
1,1,"the fired-my-ass-for-negligence?
"
,,
1,1,"Peter, are you feeling okay?
"
,,
1,1,"I feel great!
"
,,
1,1,"I haven't got a job in the world.
"
,,
1,1,"All right, then let's eat.
"
,,
1,1,"I know you all hate eggplant, but...
"
,,
1,1,"What on earth was that?
"
,,
1,1,"What the deuce are you staring at?
"
,,
1,1,"It's tuna fish...
"
,,
1,1,"...and nothing else.
"
,,
1,1,"How's your job search going?
"
,,
1,1,"It sucks, Brian. I've already
"
,,
1,1,"been through two jobs this week.
"
,,
1,1,"I got fired off of that commercial.
"
,,
1,1,"Try it again.
"
,,
1,1,"""I'm caca for Cocoa Puffs.""
"
,,
1,1,"No, damn it! Take 26!
"
,,
1,1,"Then I had that job as the sneeze guard
"
,,
1,1,"for that restaurant's salad bar.
"
,,
1,1,"Take it outside, lady.
"
,,
1,1,"I thought I could win money
"
,,
1,1,"in that talent show.
"
,,
1,1,"And the prize goes
"
,,
1,1,"to The von Trapp Family Singers!
"
,,
1,1,"That is bull...
"
,,
1,1,"Peter, I know it's a dangerous precedent...
"
,,
1,1,"...but you might want to tell Lois the truth.
"
,,
1,1,"What? That I can't provide for my family?
"
,,
1,1,"That she's always right?
"
,,
1,1,"That I didn't stand up to a tank
"
,,
1,1,"in Tiananmen Square?
"
,,
1,1,"Screw this!
"
,,
1,1,"I just came over to buy some fireworks!
"
,,
1,1,"You can't keep lying to her
"
,,
1,1,"about losing your job.
"
,,
1,1,"Eventually, she'll find out
"
,,
1,1,"where you're going every day.
"
,,
1,1,"Yeah.
"
,,
1,1,"Yeah, you're right.
"
,,
1,1,"Okay, I'll tell her tonight.
"
,,
1,1,"Victory is mine!
"
,,
1,1,"I'll need the checkbook
"
,,
1,1,"in the morning.
"
,,
1,1,"I'm going to Stop 'N Shop
"
,,
1,1,"for some sweet corn.
"
,,
1,1,"You're spending money on food again?
"
,,
1,1,"Lois, we just had dinner.
"
,,
1,1,"I enjoyed it so much,
"
,,
1,1,"I thought we'd eat again tomorrow.
"
,,
1,1,"Since when are you so concerned
"
,,
1,1,"about our food budget?
"
,,
1,1,"I just...
"
,,
1,1,"Lois, this is really hard for me to say, but...
"
,,
1,1,"What is it, Peter?
"
,,
1,1," You're getting kind of fat.
"
,,
1,1," What?
"
,,
1,1,"It's just... It's not healthy.
"
,,
1,1,"Peter, I do my Jane Fonda workout tape
"
,,
1,1,"three times a week.
"
,,
1,1,"When was the last time you saw your toes?
"
,,
1,1,"I thought you people were
"
,,
1,1,"supposed to be jolly.
"
,,
1,1,"Peter, what the hell is the matter with you?
"
,,
1,1,"Honey, if there's something wrong,
"
,,
1,1,"you can tell me.
"
,,
1,1," Sorry, man. Am I late? What did I miss?
"
,,
1,1," Thank God you're here. What do I do?
"
,,
1,1,"Tell him to keep quiet. He's in too deep.
"
,,
1,1,"I don't know.
"
,,
1,1,"Where's the other guy?
"
,,
1,1,"This is unbelievable!
"
,,
1,1,"I promise you, everything's fine.
"
,,
1,1,"You got nothing to worry about.
"
,,
1,1,"Well, well, Mother!
"
,,
1,1,"We meet again!
"
,,
1,1,"Stewie, I thought
"
,,
1,1,"I tucked you in an hour ago.
"
,,
1,1,"Not tightly enough it would seem.
"
,,
1,1,"And now you contemptible harpy...
"
,,
1,1,"...I shall end your reign
"
,,
1,1,"of matriarchal tyranny.
"
,,
1,1,"You can play tomorrow, honey.
"
,,
1,1,"Right now it's bedtime.
"
,,
1,1,"Blast you and your estrogenical treachery!
"
,,
1,1,"Sweet dreams, kiddo.
"
,,
1,1,"You have the power to end this!
"
,,
1,1,"How'd she take it?
"
,,
1,1,"I told her she was fat.
"
,,
1,1,"No.
"
,,
1,1,"I hate lying to Lois. It's just...
"
,,
1,1,"It's the best way
"
,,
1,1,"to keep her from the truth.
"
,,
1,1,"You have no choice.
"
,,
1,1,"Your unemployment will dry up soon.
"
,,
1,1,"She'll probably sense something's amiss
"
,,
1,1,"when they repossess your house.
"
,,
1,1,"You really oughta think
"
,,
1,1,"of your family's welfare.
"
,,
1,1,"Jeez, Brian! That's a great idea!
"
,,
1,1,"Okay, do you have any disabilities,
"
,,
1,1,"past injuries, physical anomalies?
"
,,
1,1,"I didn't have gas
"
,,
1,1,"for the first time until I was 30.
"
,,
1,1,"What the hell was that?
"
,,
1,1,"Guys, our money problems
"
,,
1,1,"are over! We're officially on welfare.
"
,,
1,1,"Come on, help me scatter car parts
"
,,
1,1,"on the front lawn.
"
,,
1,1,"How much are we getting?
"
,,
1,1,"Let's see. $150 a week.
"
,,
1,1,"Wait. That's a comma, not a decimal.
"
,,
1,1,"Whoops.
"
,,
1,1,"No, I haven't seen Peter all afternoon.
"
,,
1,1,"I was giving a piano lesson.
"
,,
1,1,"Stewie, why don't you play
"
,,
1,1,"in the other room?
"
,,
1,1,"Why don't you burn in hell?
"
,,
1,1,"No dessert for you, young man.
"
,,
1,1,"Who would've thought getting drunk
"
,,
1,1,"would get me...
"
,,
1,1,"...$150,000 a week from the government?
"
,,
1,1,"This is why I don't vote.
"
,,
1,1,"Maybe somebody down there
"
,,
1,1,"was drinking, too.
"
,,
1,1,"Mr. President, why do you think
"
,,
1,1,"the public supports you...
"
,,
1,1,"...during these impeachment proceedings?
"
,,
1,1,"Probably because you're so fat.
"
,,
1,1,"Peter, you might want to call
"
,,
1,1,"the Welfare Commission.
"
,,
1,1,"That check is obviously an oversight.
"
,,
1,1,"Not necessarily. Maybe I'm like
"
,,
1,1,"their one millionth customer.
"
,,
1,1,"What?
"
,,
1,1,"You're gonna spend $150,000 a week?
"
,,
1,1," Yeah.
"
,,
1,1," On what?
"
,,
1,1,"Oh, my God!
"
,,
1,1,"Peter, you bought the statue of David?
"
,,
1,1,"No. I just rented it.
"
,,
1,1,"But they're gonna be ticked.
"
,,
1,1,"The penis broke off
"
,,
1,1,"while I was loading it into the car.
"
,,
1,1,"I shall call you ""Eduardo.""
"
,,
1,1,"Peter, how can we afford this?
"
,,
1,1,"You won't believe it, Mom! Dad's getting...
"
,,
1,1,"A big raise!
"
,,
1,1,"Peter, that's wonderful!
"
,,
1,1,"But, Dad, I thought...
"
,,
1,1,"The kind of raise that'll allow me
"
,,
1,1,"to give my kids a big allowance...
"
,,
1,1,"...just for keeping their big mouths shut.
"
,,
1,1,"Come on, guys.
"
,,
1,1,"I'll buy us
"
,,
1,1,"the most expensive meal we've ever had.
"
,,
1,1,"Yeah.
"
,,
1,1,"I'd like 6,000 chicken fa-ji-tas, please.
"
,,
1,1,"I beg your pardon?
"
,,
1,1,"And a ""So-sage"" McBiscuit, please.
"
,,
1,1,"Peter, what's the big surprise?
"
,,
1,1,"You know how I always said
"
,,
1,1,"you should be treated like a queen?
"
,,
1,1,"I got you your own jester.
"
,,
1,1,"Good to be here in New England.
"
,,
1,1,"And what's the deal
"
,,
1,1,"with ""New"" England anyway?
"
,,
1,1,"It's over 200 years old!
"
,,
1,1,"Last time I checked, that's not that new.
"
,,
1,1,"This is great.
"
,,
1,1,"I can finally afford to give my little girl
"
,,
1,1,"the lips she's always dreamed of.
"
,,
1,1,"Thank you, Daddy!
"
,,
1,1,"I don't know, Peter. Lips are one thing.
"
,,
1,1,"But did you have to buy
"
,,
1,1,"breast implants for Chris?
"
,,
1,1,"It makes him happy.
"
,,
1,1,"These are cool.
"
,,
1,1,"When did you get a pool?
"
,,
1,1,"It's a moat.
"
,,
1,1,"I know it's silly...
"
,,
1,1,"...but my husband thinks our family
"
,,
1,1,"needs extra protection now that...
"
,,
1,1,"...we're rich.
"
,,
1,1,"Does it work?
"
,,
1,1,"It does keep the Black Knight at bay.
"
,,
1,1,"Congratulations in all your success.
"
,,
1,1,"Here's your welfare check.
"
,,
1,1,"What the...
"
,,
1,1,"Hi, honey.
"
,,
1,1,"What?
"
,,
1,1,"I know what I did was wrong.
"
,,
1,1,"But I only did it for you and the kids.
"
,,
1,1,"Except for the jukebox in the bathroom.
"
,,
1,1,"That was for Peter.
"
,,
1,1,"Yeah, from the American taxpayers.
"
,,
1,1,"I am so mad I can't see straight.
"
,,
1,1,"No problem.
"
,,
1,1,"We got money to get that fixed...
"
,,
1,1,"...with enough left for us to buy our way
"
,,
1,1,"out of any trouble our kids might get into.
"
,,
1,1,"Just like the Kennedys.
"
,,
1,1,"I feel like I don't
"
,,
1,1,"even know you anymore, Peter.
"
,,
1,1,"The man I married would never think
"
,,
1,1,"he could fix a problem...
"
,,
1,1,"...just by spending money!
"
,,
1,1,"Boy, she's pretty pissed.
"
,,
1,1,"Who thought fraud
"
,,
1,1,"would be one of her buttons?
"
,,
1,1,"Why have a jukebox
"
,,
1,1,"in the john if your wife's mad at you?
"
,,
1,1,"Peter, you may have to return
"
,,
1,1,"that money to the taxpayers.
"
,,
1,1,"But I gotta make sure
"
,,
1,1,"Lois knows I'm doing it.
"
,,
1,1,"I need an event with thousands of people.
"
,,
1,1,"Something that everybody cares about.
"
,,
1,1,"We might have to leave
"
,,
1,1,"Rhode Island for this.
"
,,
1,1,"The air is electric here
"
,,
1,1,"at Super Bowl XXXIII tonight!
"
,,
1,1,"Pat, it's safe to say that all
"
,,
1,1,"these fans came out here...
"
,,
1,1,"...to watch a game of football!
"
,,
1,1,"John, we're in commercial.
"
,,
1,1,"Yeah, I know.
"
,,
1,1,"I'm just making conversation. Come on.
"
,,
1,1,"Football!
"
,,
1,1,"Amazing. You can barely drive a car.
"
,,
1,1,"Yet you were allowed to fly a blimp?
"
,,
1,1,"Yeah, America's great, isn't it?
"
,,
1,1,"Except for the South.
"
,,
1,1,"Boy, I hope Lois is watching.
"
,,
1,1,"Okay, taxpayers, here you go!
"
,,
1,1,"Looks like we're getting some rain
"
,,
1,1,"here tonight, John.
"
,,
1,1,"Yeah. Hey, wait a second!
"
,,
1,1,"This is no ordinary rain!
"
,,
1,1,"It's some kind of crazy money rain!
"
,,
1,1,"I'm being told it's a man and his dog
"
,,
1,1,"throwing cash out of a blimp.
"
,,
1,1,"Man. I hope this works. Otherwise,
"
,,
1,1,"I'm gonna have to start dropping these.
"
,,
1,1,"The crowd is storming the field!
"
,,
1,1,"This is pandemonium!
"
,,
1,1,"Have you ever seen anything like this, Pat?
"
,,
1,1,"Just once. The 1975 Cotton Bowl.
"
,,
1,1,"This is the old ""trying to make amends...
"
,,
1,1,"""...for spending $150,000 a week
"
,,
1,1,"in misappropriated welfare funds"" play.
"
,,
1,1,"I don't care what it is! That guy's ruining
"
,,
1,1,"a perfectly good game of football!
"
,,
1,1," Madden to Fox Security.
"
,,
1,1," Go ahead.
"
,,
1,1,"Take them down!
"
,,
1,1,"Yes, sir.
"
,,
1,1,"How was your shower?
"
,,
1,1,"I tell you, all of the rumors
"
,,
1,1,"about dropping the soap are true.
"
,,
1,1,"Really?
"
,,
1,1,"You can't hold onto that thing
"
,,
1,1,"to save your life.
"
,,
1,1,"It was slipping everywhere.
"
,,
1,1,"Guys were laughing.
"
,,
1,1,"There's the guy
"
,,
1,1,"that couldn't hold the soap.
"
,,
1,1,"That was classic.
"
,,
1,1,"Boy. I really let Lois down this time.
"
,,
1,1,"Do you think she'll wait for me?
"
,,
1,1,"If every woman dumped her husband...
"
,,
1,1,"...for crashing a blimp,
"
,,
1,1,"no one would be married.
"
,,
1,1,"Yeah, you're right.
"
,,
1,1,"Okay, I got the top bunk.
"
,,
1,1,"My collagen is wearing off.
"
,,
1,1,"Honey, sagging lips are just nature's way...
"
,,
1,1,"...of telling you you shouldn't
"
,,
1,1,"cover for your father's lie.
"
,,
1,1,"What does it mean when your armpits
"
,,
1,1,"cry stinky tears?
"
,,
1,1,"It means you're becoming a man.
"
,,
1,1,"But hopefully not the kind who stays out
"
,,
1,1,"all day and doesn't call...
"
,,
1,1,"...like your father
"
,,
1,1,"who shall remain nameless.
"
,,
1,1,"Hello, Mother.
"
,,
1,1,"Hi there, sweetie.
"
,,
1,1,"You know, Mother,
"
,,
1,1,"life is like a box of chocolates.
"
,,
1,1,"You never know what you're going to get.
"
,,
1,1,"Your life, however,
"
,,
1,1,"is more like a box of active grenades!
"
,,
1,1,"Now, I offer one last chance
"
,,
1,1,"for deliverance.
"
,,
1,1,"Return my mind-control device
"
,,
1,1,"or be destroyed.
"
,,
1,1,"You just want your toy back.
"
,,
1,1,"Okay, here you go, honey.
"
,,
1,1,"Yes... Well, victory is mine!
"
,,
1,1,"Damn you all!
"
,,
1,1,"Hello?
"
,,
1,1,"Oh, my God!
"
,,
1,1,"Lois, am I glad to see you.
"
,,
1,1,"I have nothing to say to you, Peter.
"
,,
1,1,"I gave the money back.
"
,,
1,1,"Why are you still steamed?
"
,,
1,1,"Peter, you lied to me,
"
,,
1,1,"you betrayed my trust.
"
,,
1,1,"Compared to that,
"
,,
1,1,"welfare fraud doesn't even matter.
"
,,
1,1,"Really?
"
,,
1,1,"Let's hope the judge feels that way.
"
,,
1,1,"This court will come to order.
"
,,
1,1,"I figured the sooner I cashed the check...
"
,,
1,1,"...the sooner they'd catch their mistake.
"
,,
1,1,"Why are we making a federal case
"
,,
1,1,"out of this?
"
,,
1,1,"Don't you think you should
"
,,
1,1,"have alerted the government...
"
,,
1,1,"...of such a gross overpayment?
"
,,
1,1,"I was gonna call them.
"
,,
1,1,"But my favorite episode...
"
,,
1,1,"...of Different Strokes was on.
"
,,
1,1,"The one where Arnold and Dudley...
"
,,
1,1,"...get sexually molested
"
,,
1,1,"by the bike shop owner?
"
,,
1,1,"All right. Now I want you boys
"
,,
1,1,"to scream real loud at my ass.
"
,,
1,1,"And everybody learns a valuable lesson.
"
,,
1,1,"Mr. Griffin, have you learned a lesson?
"
,,
1,1,"Yes. Stay the hell away
"
,,
1,1,"from that bike shop.
"
,,
1,1,"Okay, everybody, I feel really bad
"
,,
1,1,"about what I did. I just...
"
,,
1,1,"I don't know. I saw the one chance...
"
,,
1,1,"...l'd ever have to give my family
"
,,
1,1,"the things they deserve.
"
,,
1,1,"I guess I screwed it up.
"
,,
1,1,"I cheated the government.
"
,,
1,1,"And worst of all, I lied to my wife.
"
,,
1,1,"And she deserves better.
"
,,
1,1,"I'm sorry, honey.
"
,,
1,1,"Mr. Griffin, I think your words
"
,,
1,1,"have touched us all.
"
,,
1,1,"I'm sentencing you to 24 months in prison.
"
,,
1,1,"No!
"
,,
1,1," No!
"
,,
1,1," No!
"
,,
1,1,"No!
"
,,
1,1,"Yeah!
"
,,
1,1,"Excuse me, Your Honor?
"
,,
1,1,"Yes?
"
,,
1,1,"Look, my husband may be
"
,,
1,1,"a bit thoughtless at times.
"
,,
1,1,"He may even be downright stupid.
"
,,
1,1,"But I know he only accepted that money...
"
,,
1,1,"...because he wanted to be
"
,,
1,1,"a good husband and father.
"
,,
1,1,"But what he needs to remember
"
,,
1,1,"is that we love him.
"
,,
1,1,"And no matter what,
"
,,
1,1,"I'll always stand by him.
"
,,
1,1,"I love you too, honey.
"
,,
1,1,"That was very moving, Mrs. Griffin.
"
,,
1,1,"Okay, you can go to jail with him!
"
,,
1,1,"What?
"
,,
1,1,"Intolerable as it may be...
"
,,
1,1,"...l'm completely dependent upon
"
,,
1,1,"those wretched drones for sustenance.
"
,,
1,1,"Let us see how the constitution
"
,,
1,1,"of American justice fares...
"
,,
1,1,"...against the device!
"
,,
1,1,"Is that your boy?
"
,,
1,1,"What? Yeah. That's Stewie.
"
,,
1,1,"Gosh. I can't separate a kid that young
"
,,
1,1,"from his father. It's unjudgmenly.
"
,,
1,1," Hell, you've learned your lesson, right?
"
,,
1,1," Yeah.
"
,,
1,1," All right. You're free.
"
,,
1,1," Wow! Can you give me my job back?
"
,,
1,1,"No.
"
,,
1,1," Yes.
"
,,
1,1," All right!
"
,,
1,1,"That was a crazy one, Dick.
"
,,
1,1,"It sure was. In this next blooper
"
,,
1,1,"from Joanie Loves Chachi...
"
,,
1,1,"...watch what happens when Scott Baio
"
,,
1,1,"tries to say:
"
,,
1,1,"""She sells seashells
"
,,
1,1,"down by the seashore.""
"
,,
1,1,"What does your mom do?
"
,,
1,1,"She sells seashells down by the...
"
,,
1,1,"That is kind of a tongue twister.
"
,,
1,1,"It's good to have you home, Peter.
"
,,
1,1,"Honey, I knew everything
"
,,
1,1,"would turn out okay.
"
,,
1,1,"I sure am gonna miss being rich.
"
,,
1,1,"Don't worry.
"
,,
1,1,"I got a way to get money.
"
,,
1,1,"Not another welfare scam?
"
,,
1,1,"No. Minority scholarship.
"
,,
1,1,"No.
"
,,
1,1,"Are you insane?
"
,,
1,1,"Okay, I mean sexual harassment suit.
"
,,
1,1,"No.
"
,,
1,1,"Don't think so.
"
,,
1,1,"Absolutely outrageous.
"
,,
1,1,"Okay, disability claim.
"
,,
1,2,"Look at Stewie.
"
,,
1,2,"Isn't he adorable
"
,,
1,2,"playing with his Sesame Street phone?
"
,,
1,2,"Put me through to the Pentagon.
"
,,
1,2,"What sound does a cow make?
"
,,
1,2,"Don't toy with me!
"
,,
1,2,"I've already dispatched with Mr. Hooper.
"
,,
1,2,"I've six armed men outside Big Bird's nest.
"
,,
1,2,"And as for Linda?
"
,,
1,2,"It's difficult for a deaf woman
"
,,
1,2,"to hear an assassin approach, isn't it?
"
,,
1,2,"Can you count to three?
"
,,
1,2,"Indeed I can.
"
,,
1,2,"One! Two! Three!
"
,,
1,2,"Can I count to three? For God's sake,
"
,,
1,2,"I'm already shooting at a fifth-grade level.
"
,,
1,2,"""It seems today that all you see
"
,,
1,2,"""is violence in movies and sex on TV
"
,,
1,2,"""But where are those good,
"
,,
1,2,"old-fashioned values
"
,,
1,2,"""on which we used to rely?
"
,,
1,2,"""Lucky there's a family guy
"
,,
1,2,"""Lucky there's a man who'll
"
,,
1,2,"positively tell you
"
,,
